"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.11916557329875e-34,3.70019475511148,0.91,0.343,2.35047153704204e-30,"0","ENSMUSG00000013936"
2.59101346613934e-32,2.11966055353891,0.987,0.705,5.44164648158585e-28,"0","ENSMUSG00000059741"
9.32811556097822e-25,2.20162887331463,0.914,0.533,1.95909083011665e-20,"0","ENSMUSG00000053093"
3.29110174494553e-21,2.07308403757773,0.798,0.248,6.91197188473461e-17,"0","ENSMUSG00000038583"
2.50392778563731e-17,0.946449538956525,0.991,0.943,5.25874913539547e-13,"0","ENSMUSG00000033307"
2.59753984449202e-15,0.558715847743438,1,1,5.45535318140213e-11,"0","ENSMUSG00000012848"
6.30976982591398e-15,0.548252984129028,0.996,0.99,1.32517785883846e-10,"0","ENSMUSG00000003970"
7.80164314941799e-15,1.67643558073099,0.811,0.467,1.63850109424077e-10,"0","ENSMUSG00000054717"
9.26980109828455e-15,0.79536793111629,1,0.952,1.94684362666172e-10,"0","ENSMUSG00000063229"
2.22784298988698e-14,0.885667489892391,0.974,0.914,4.67891584736063e-10,"0","ENSMUSG00000005732"
1.05647395727143e-13,2.31275757791547,0.678,0.276,2.21880660506146e-09,"0","ENSMUSG00000001403"
1.5038556427047e-13,0.55156223868652,1,1,3.1583976208084e-09,"0","ENSMUSG00000057841"
2.79758229567233e-13,0.992809036172689,0.944,0.771,5.87548233737104e-09,"0","ENSMUSG00000037601"
4.03147912482111e-13,0.615490411708601,1,1,8.46691245794929e-09,"0","ENSMUSG00000067274"
1.43172804895696e-12,1.32111176132831,0.811,0.467,3.00691524841942e-08,"0","ENSMUSG00000042462"
4.38092220169646e-12,0.522835046314083,0.996,0.99,9.20081280800292e-08,"0","ENSMUSG00000000740"
6.25241472441993e-12,2.28568447099582,0.584,0.19,1.31313214042267e-07,"0","ENSMUSG00000040204"
7.91307507441317e-12,0.540630662037049,1,0.99,1.66190402712825e-07,"0","ENSMUSG00000032399"
8.91218131987922e-12,2.15691513222915,0.601,0.219,1.87173632080103e-07,"0","ENSMUSG00000017716"
9.92158363628925e-12,0.443552595843116,1,1,2.08373099529347e-07,"0","ENSMUSG00000040952"
1.04406413394827e-11,0.875897461955097,0.94,0.829,2.19274349411815e-07,"0","ENSMUSG00000029430"
1.38470535008749e-11,1.1380704051033,0.768,0.333,2.90815817625374e-07,"0","ENSMUSG00000031972"
